LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
Honda Door Key Cut Service & Match Locks  (Send Key codes & Keyport blank to Dealer),,A,2.00,EA,,Honda,Consumables,,,,,,,Tempe Honda,,,,,,,,,,,,,,,,
Brake Parts Cleaner Spray,DY-49665,A,0.10,EA,,,Consumables,C,0%,C,"$64,197",100%,,Terminal Supply,BRAKE & PARTS CLEANER - NON-CHLORINATED 15 OZ AEROSOL CAN,,EA,,,,,,,,,,,,,
Butane Refill,CAN-B,A,0.20,EA,2.0,,Consumables,C,0%,C,"$64,147",100%,,Terminal Supply,Torch Refil Butane Gas,,,,,,,,,,,,,,,
Body Saw Blades 14/18TPI,P4EV-50,A,0.05,Pkg,,,Consumables,,,C,"$63,917",100%,,Tool Barn,Extra Coarse 14/18 TPI Air Reciprocating Saw Blades 50 Pack,,,,,,,,,,,,,,,
"1"" Blue Masking Tape",S-6542,A,0.10,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline, 3M2090 1X60 LONGMASK T,,,,,,,,,,,,,,,
"1.5"" Blue Masking Tape",S-10283,A,0.10,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,"3M2090 1.5""X60YD MASKI  ",,,,,,,,,,,,,,,
"2"" Blue Masking Tape",S-6543,A,0.10,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,3M2090 2X60 LONGMASK T,,,,,,,,,,,,,,,
Black Sharpie's,H-286BL,A,1.00,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,SHARPIE MARKER BLACK 1,,,,,,,,,,,,,,,
Bulk Cardboard Container W/Lid,S-4874,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,43X36X29 BULK CONTAINER W/SKID,,,,,,,,,,,,,,,
"Pallets, Used",S-1272,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,42X42 #1 RECYCLED WOOD PALLET,,,,,,,,,,,,,,,
"Kraft Paper, 50lb strength",S-1912,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,"50LB KRAFT PAPER 30""X720'",,,,,,,,,,,,,,,
"3"" Black Duct Tape",S-7178BL,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,3X60 BLACK INDUSTRIAL DUCT TAPE,,,,,,,,,,,,,,,
"8""x10"" 4mil Reclosable Bags",S-1908,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,8X10 4MIL WB RECLOSABLE BG 1M/CT,,,,,,,,,,,,,,,
"5""x7"" 4mil Reclosable Bags",S-13497,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,5X7 4MIL WB RECLOSABLE BAG 1M/CT,,,,,,,,,,,,,,,
"3""x5"" 4mil Reclosable Bags",S-495,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,3X5 4MIL WB RECLOSABLE BAG 1M/CT,,,,,,,,,,,,,,,
Packaging Tape,S-14565,A,,RL,,,Consumables,C,0%,,"$64,202",100%,,Uline,3X55 2.6MIL CLEAR CARTON SEAL TP,,,,,,,,,,,,,,,
Shrink Wrap,S-642,A,,RL,,,Consumables,C,0%,,"$64,202",100%,,Uline,18X1500 80GA ULINE BLOWN WRAP,,,,,,,,,,,,,,,
"Corrugated Pads, 42""x48""",S-3586,A,,EA,,,Consumables,C,0%,,"$64,202",100%,,Uline,42X48 200# CORR PAD 25/250,,,,,,,,,,,,,,,
Radiator Upper Isolators,4596474AD,A,2.00,EA,,Dodge,Cooling System,,,c,,,Prep,Chapman Dodge,Radiator Upper Isolators,4596474AD,,,,,,,,,,,,,,
Distilled Water,Distilled water,A,1.50,EA,,,Cooling System,B,2%,C,"$64,091",100%,,CVS,,,,,,,,,,,,,,,,
"Radiator Upper Mount, Powder Coat",RFN-0A36-071,A,2.00,Ea,,,Cooling System,,,,,,,Local Motors,,,EA,1,,,,,,,,,,,,
"18.5mm 360deg Hose Clamp, (3/8"" Rubber Line)",52545K25,A,6.00,EA,,,Cooling System,B,2%,C,"$63,968",100%,,McMaster-Carr,"Gap-free Pinch Hose And Tube Clamp 39/64"" To 47/64"" Clamp Dia Range, 9/32"" Band Width",52545K25,EA,25,,,,,,,,,,,,
"22.6mm 360deg Hose Clamp, (1/2"" rubber Line)",52545K72,A,4.00,EA,,,Cooling System,B,2%,C,"$64,066",100%,,McMaster-Carr,"Gap-Free Pinch Hose and Tube Clamp, 49/64"" to 57/64"" Clamp Diameter Range, 9/32"" Band Width, Packs of 25",52545K72,EA,25,,,,,,,,,,,,
"HOSE CLAMP, FOR 3/4 TUBE",52545K56,A,6.00,EA,,,Cooling System,,,,,,,McMaster-Carr,"Gap-Free Pinch Hose and Tube Clamp 1-1/16"" to 1-3/16"" Clamp Dia Range, 9/32"" Band Width, packs of 25",52545K56,,25,,,,,,,,,,,,
"HOSE CLAMP, FOR 1/4 TUBE",52545K53,A,2.00,EA,,,Cooling System,,,,,,,McMaster-Carr,"Gap-Free Pinch Hose and Tube Clamp 15/32"" to 37/64"" Clamp Dia Range, 9/32"" Band Width, packs of 25",52545K53,,25,,,,,,,,,,,,
General Purpose Rubber Sheet  (Ebrake close out),8610K73,A,0.25,EA,1.0,,Interior,B,2%,C,"$63,941",100%,,McMaster-Carr,"Medium-strength Weather-resistant Epdm Rubberplain Back, 3/32"" Thick, 12"" X 24"", 60a Durometer",8610K73,EA,1,,,,,,,,,,,,
"Fluid, Dexcool Antifreeze, (approx 3.6 gal cap)",12346290,A,2.50,Gal,4.0,GM,Cooling System,B,2%,C,"$62,024",97%,,"Napa, Mel's Auto",Fluid,1DEX,GAL,,,,,,,,,,,,,
"HEATER HOSE, 5/8 ID",H153,A,2,ft,,,Cooling System,"Napa, Mel's Auto",,,,,,"Napa, Mel's Auto","HEATER HOSE, 5/8 ID",H153,,25,,,,,,,,,,,,
HEATER HOSE 5/16 ID,H149,A,2,Ft,,,Cooling System,"Napa, Mel's Auto",,,,,,"Napa, Mel's Auto",Heater Hose 5/16,H149,,25,,,,,,,,,,,,
"HEATER HOSE, 3/4 ID",H152,A,2.67,FT,,,Cooling System,B,2%,C,"$64,150",100%,,"Napa, Mel's Auto","HEATER HOSE, 3/4 ID",H153,,25,,,,,,,,,,,,
"HEATER HOSE, 3/8 ID",H147,A,2.08,FT,,,Cooling System,B,2%,C,"$64,150",100%,,"Napa, Mel's Auto","HEATER HOSE, 3/8 ID",H147,,25,,,,,,,,,,,,
"HEATER HOSE, 1/4 ID",H148,A,2.25,FT,,,Cooling System,B,2%,C,"$64,150",100%,,"Napa, Mel's Auto","HEATER HOSE, 1/4 ID",H148,,25,,,,,,,,,,,,
"5/8""  to 3/4"" Reducer ",9911,A,1,Ea,,,Cooling System,"Napa, Mel's Auto",,,,,,"Napa, Mel's Auto",,9911,,1,,,,,,,,,,,,
"TEE, 3/4""X3/4""X3/4"" Heater",9935,A,1,Ea,,,Cooling System,B,2%,C,"$64,150",100%,,"Napa, Mel's Auto","TEE, 3/4""X3/4""X3/4""",9935,,1,,,,,,,,,,,,
"Tee 1/4""x 1/4"" x1/4"" Heater",9931,A,1,EA,,,Cooling System,,,,,,,"Napa, Mel's Auto","Tee 1/4""x 1/4"" x1/4"" Heater",9931,,1,,,,,,,,,,,,
"HOSE, ENGINE SIDE LH",8678,A,1,EA,,,Cooling System,B,2%,C,"$64,150",100%,,"Napa, Mel's Auto","HOSE, ENGINE SIDE LH",8678,,,,,,,,,,,,,,
"HOSE, ENGINE SIDE RH",8575,A,1,EA,,,Cooling System,B,2%,C,"$64,150",100%,,"Napa, Mel's Auto","HOSE, ENGINE SIDE RH",8575,,,,,,,,,,,,,,
"HOSE, RADIATOR LOWER",9284,A,1,EA,,,Cooling System,B,2%,C,"$64,150",100%,,"Napa, Mel's Auto","HOSE, RADIATOR LOWER",9284,,,,,,,,,,,,,,
"HOSE, RADIATOR UPPER",8389,A,1,EA,,,Cooling System,B,2%,C,"$64,150",100%,,"Napa, Mel's Auto","HOSE, RADIATOR UPPER",8389,,,,,,,,,,,,,,
"1/4"" Heater Hose",NBH-H-145,A,2.50,FT,,,Cooling System,B,2%,C,"$64,150",100%,,"Napa, Mel's Auto","1/4"" Heater Hose",NBH-H-145,,,,,,,,,,,,,,
Coolant Temperature Sensor,TS-6012,A,1.00,Ea,,,Cooling System,,,,,,,Confidential Local Motors,Coolant Temperature Sensor,83420-12010,EA,100,Napa,Coolant Temperature Sensor,TS-6012,,,,,,,,,
Coolant Expansion Tank Reservoir ,443121403,A,1.00,ea,,,Cooling System,,,C,,,,Confidential Local Motors,Coolant Expansion Tank Reservoir,443121403,EA,50,AutohauzAZ,Coolant Tank ,,,,,,,,,,
"Radiator, 2010 Dodge Challenger",2648,A,1.00,EA,,,Cooling System,,,,,,,Performance Radiator,"Radiator, 2010 Dodge Challenger",2648,,6,Pan Taiwan,"Radiator, 2010 Dodge Challenger",tbd,50,,Shanghai Shengming,"Radiator, 2010 Dodge Challenger",tbd / ICR sheet,85,,,
"Condenser w/Dryer and Transmission Cooler, 2010 Dodge Challenger",3753,A,1.00,EA,,,Cooling System,,,,,,,Performance Radiator,"Condenser w/Dryer and Transmission Cooler, 2010 Dodge Challenger",3753,,6,Pan Taiwan,"Condenser w/Dryer and Transmission Cooler, 2010 Dodge Challenger",tbd,50,,Shanghai Shengming,"Condenser w/Dryer and Transmission Cooler, 2010 Dodge Challenger",tbd / ICR sheet,85,,,
"Dual Fan Assembly w/shroud, 2010 Dodge Challenger",621190,A,1.00,EA,,,Cooling System,,,,,,,Performance Radiator,"Dual Fan Assembly w/shroud, 2010 Dodge Challenger",621190,,6,Pan Taiwan,"Dual Fan Assembly w/shroud, 2010 Dodge Challenger",tbd,50,,Shanghai Shengming,"Dual Fan Assembly w/shroud, 2010 Dodge Challenger",tbd / ICR sheet,85,,,
Cap Expansion Tank ,443121321,A,1.00,EA,,,Cooling System,,,,,,,Rock Auto,Cap Expansion Tank ,443121321,EA,1,,,,,,,,,,,,
"Spring Clamp, (large coolant port at RH motor side;  Radiator Hose Mount)",11562099,A,3.00,EA,4.0,GM,Cooling System,B,2%,C,"$63,757",99%,,Thorobred,Clamp,,EA,,,,,,,,,,,,,
"Spring Clamp, (coolant line joints)",11516234,A,5.00,EA,4.0,GM,Cooling System,B,2%,C,"$61,112",95%,,Thorobred,Clamp,,EA,,,,,,,,,,,,,
"Aluminum Weld in  Barbed Connectory, AN6","Weld In Aluminum, AN6",A,1.00,EA,,,Cooling System,,,,,,,www.coldhose.com,"Aluminum Weld in  Barbed Connectory, AN6","Weld In Aluminum, AN6",,1,,,,,,,,,,,,
Coolant Sensor O-ring,,A,1.00,Ea,,,Cooling System,,,,,,,,,,EA,,,,,,,,,,,,,
AC Delco Kick Down Switch T400,1242101,A,1.00,EA,2.0,,Drivetrain,,,,,,,Amazon,ACDelco 1242101 Switch Assembly,1242101,EA,1,http://www.americanclassic.com/Google_Base_HTML_Pages/EL870NOS-1973.htm,70-75 Switch Throttle Contorl,EL870NOS,,,,,,,,,
"Sending Unit, Hall Effect, GM/Mopar, with Cruise Control, Each",5291,01,1.00,EA,2.0,AutoMeter,Drivetrain,,,,,,,AutoMeter,"Sending Unit, Hall Effect, GM/Mopar, with Cruise Control, Each",5291,EA,10,Summit Racing,AutoMeter,ATM-5291,,,,,,,,,
Trans Cooler Line  (Dodge Challenger) (Cut off Ends & braze on AN fittings),4598101AD,A,1.00,ea,,Dodge,Cooling System,,,,,,,Chapman Dodge,Oil Cooler Tube,4598101AD,EA,1,,,,,,,,,,,,
4-40  Lock Nut Zinc (Hold Switches on gear Selector),90631A005,A,4.00,EA,,,Drivetrain,,,,,,,McMaster-Carr,90631A005,90631A005,EA,100,,,,,,,,,,,,
"4-40 x 3/4"" Philips Cap Screw Zinc (Hold Switches on gear Selector)",90272A113,A,4.00,EA,,,Drivetrain,,,,,,,McMaster-Carr,"Znc-Pltd Grade 2 STL Nylon-Insert Hex Locknut 4-40 Thread Size, 1/4"" Width, 9/64"" Height",90272A113,EA,100,,,,,,,,,,,,
U-Joint U -Bolt Kit  (Backup until Strange provides on axle),PUJ 330-10,A,1.00,EA,,,Drivetrain,,,,,,,"Napa, Mel's Auto",U-Joint U -Bolt Kit,PUJ 330-10,EA,1,,,,,,,,,,,,
Gear Oil  85W-140  (Luca oil products axles come filled) back up,10042,A,3.00,Qt,,,Drivetrain,,,,,,,"Napa, Mel's Auto",Gear Oil  85W-140  (Luca oil products axles come filled) back up,10042,QT,1,,,,,,,,,,,,
Friction Modifier  3.8Fl Oz  (Add extra one to quiet axle) (one Comes in axle Kit),SL2411,A,1.00,Ea,,,Drivetrain,,,,,,,"Napa, Mel's Auto",Friction Modifier  3.8Fl Oz  (Comes in axle) Back up ,SL2411,EA,1,,,,,,,,,,,,
"RF Driveshaft, T400, 3.5"" slip yoke, single cardan both ends (26"" outside of welds)",100-T400,A,1.00,EA,,,Drivetrain,,,,,,,Phoenix Rack & Axle,"RF Driveshaft, T400, 3.5"" slip yoke, single cardan both ends",100-T400,EA,1,,,,,,,,,,,,
"9"" Ford axle assembled with tabs, fluid and powdercoated Satin Black","LMRF-9""RearaxleASSY-Gen2",A,1.00,EA,,Strange,Drivetrain,,,A,,,,Strange Engineering,9' Ford Axle Custom ,,EA,6,,,,,,,,,,,,
Bracketry cut and stored at Strange (100 axles worth),Axle Brackets,A,1.00,EA,,Strange,Drivetrain,,,,,,,Strange Engineering,Bracketry cut and stored at Strange (100 axles worth),Axle Brackets,EA,100,,,,,,,,,,,,
Trans In Line,15812029,A,1.00,Ea,,GM,Cooling System,,,,,,,Thorobred,Trans In Line,15812029,EA,1,,,,,,,,,,,,
Trans Out Line,15267484,A,1.00,EA,,GM,Cooling System,,,,,,,Thorobred,Trans Out Line,15267484,EA,1,,,,,,,,,,,,
Flywheel (GM stopped making complete),12621399,B,1.00,EA,4.0,GM,Drivetrain,A,12%,B,"$58,043",90%,,Thorobred,Flywheel,12621399,EA,,,,,,,,,,,,6.4,
FlyWheel Center  ,12563532,A,1.00,EA,4.0,GM,Drivetrain,,,B,,,,Thorobred,Center,12563532,EA,,,,,,,,,,,,,
Bolt  (Mounting flywheel to bolts),19257940 ,A,6.00,EA,4.0,GM,Drivetrain,,,C,,,,Thorobred,Bolt,19257940 ,EA,,,,,,,,,,,,,
"Bolt, (flywheel to torque converter)(possibly 22ftlb) (6 for 4L8E, 3 for T400)",11588468,A,6.00,EA,4.0,GM,Drivetrain,A,12%,C,"$61,955",96%,,Thorobred,Flywheel to Torque Converter Bolts,11588468,EA,,,,,,,,,,,,0.041887,
"Bolt, (torque converter cover to transmission)(motor mount to motor) (TransFlex mount)  ??? Count between t400 & 4l85e??",11516328,A,14.00,EA,4.0,GM,Drivetrain,A,12%,C,"$63,740",99%,,Thorobred,Bolt,11516328,EA,,,,,,,,,,,,0.07275,
"TEST Shifter, t400, w/5' cable  (NON FLANGED)","CompetionGearSelector-107-1,W/8257",01,,,,,Drivetrain,Winters Performance,,,,,,Winters Performance,,"8257-107-1,8257",Ea,,,,,,,,,,,,,
"Gear Selector, T400; W/ 5' Cable","StdGearSeletor-107-1,W/9103",A,1.00,EA,3.0,,Drivetrain,,,,,,,Winters Performance,Standard Shifter with  107-1 Plate for T400,"9103-107-1,9103",,1,,,,,,,,,,,,
"Gear Selector, 4L85E; W/ 5' Cable","StdGearSeletor-187-1,W/9103",A,1.00,EA,3.0,,Drivetrain,,,,,,,Winters Performance,Standard Shifter with  187-1 Plate for T400,"9103-187-1,9103",,1,,,,,,,,,,,,
Gear Selector Face for T400,1031,A,1.00,EA,,,Drivetrain,,,,,,,Winters Performance,Gear Selector Face for T400,1031,,1,,,,,,,,,,,,
Gear Selector Face for  4L85E,4013,A,1.00,EA,3.0,,Drivetrain,,,,,,,Winters Performance,Gear Selector Face for  4L85E,4013,,1,,,,,,,,,,,,
"TH400 w/2500rpm Stall Converter Filled, dipstick, completely set up, dust shield w/ fasteners, Wire Harness, Output yoke w/ fastener, speed sensor installed, Vent Tubes installed,  TBd:  Short cooling hardlines   ",T400-RFGen2-ASSY,A,1.00,EA,2.0,,Drivetrain,,,,,,,Zero Gravity,T400 Transmission Option,T400-RFGen2-ASSY,EA,1,,,,,,,,,,,,
T400  fasteners;    Trans to bell housing fasteners;   Torque converter to flex plate mounting.,Dave,A,,,,,Drivetrain,,,,,,,Zero Gravity,,,,,,,,,,,,,,,,
T400 kit break out from fastner notes,Dave,01,,,,,Drivetrain,,,,,,,Zero Gravity,,,,,,,,,,,,,,,,
T400 kit break out from fastner notes,Dave,01,,,,,Drivetrain,,,,,,,Zero Gravity,,,,,,,,,,,,,,,,
T400 kit break out from fastner notes,Dave,01,,,,,Drivetrain,,,,,,,Zero Gravity,,,,,,,,,,,,,,,,
T400 kit break out from fastner notes,Dave,01,,,,,Drivetrain,,,,,,,Zero Gravity,,,,,,,,,,,,,,,,
T400 kit break out from fastner notes,Dave,01,,,,,Drivetrain,,,,,,,Zero Gravity,,,,,,,,,,,,,,,,
T400 Spacer Ring ???? ,Dave,A,,,,,Drivetrain,,,,,,,Zero Gravity,,,,,,,,,,,,,,,,
"Thread Tapping Screw, 5/16""-18, (exhaust fastening)",90064A705,A,4.00,EA,2.0,,Exhaust,C,1%,C,"$63,682",99%,,Copper State Bolt,"Znc-pltd Stl Hex Washer Head Self-drill Screw5/16""-18 Thread, 1"" Length, Drill Point #3",,,,,,,,,,,,,,,
Exhaust Rubber Hanger w/Rod,FX937,A,2.00,EA,,,Exhaust,C,1%,C,"$63,508",99%,,The Flangeman,"Square Hanger w/3/8"" cold headed rod 10"" Long",FX937,EA,,Different Trend  (Catalog & called),Texas Hanger,HD-001L,100,,,,,,,,
"Gasket, (header to CAT pipes)",21992620,A,2.00,EA,4.0,GM,Exhaust,C,1%,C,"$61,442",96%,,Thorobred,Gasket,,,,,,,,,,,,,,,
Exhaust Clamp,92202996,A,1.00,EA,4.0,GM,Exhaust,C,1%,C,"$62,075",97%,,Thorobred,Clamp,,,,,,,,,,,,,,,
Exhaust Gen2 RF,Exhaust Gen2 RF,A,1.00,EA,4.0,,Exhaust,,,,,,,Western Bending,Exhaust Gen2 RF,Exhaust Gen2 RF,EA,6,,,,,,,,,,,,
Terminal  (Tyco)    (Ignition)   REMOVE,963894-1,A,1.00,EA,,AMP,Electronics,,,,,,,,Terminal,963894-1,EA,,,,,,,,,,,,,
Trans Temperature Gauge (Generic),3649,A,1.00,EA,,,Electronics,,,,,,,Auto Meter,Trans Temperature Gauge (Generic),3649,EA,7,,,,,,,,,,,,
Oil Pressure Gauge (Generic),3627,A,1.00,EA,,,Electronics,,,,,,,Auto Meter,Oil Pressure Gauge (Generic),3627,EA,7,,,,,,,,,,,,
"Fitting, Oil Temp Sensor Adapter",2268,A,1.00,EA,,,Electronics,B,2%,C,"$63,165",98%,,Auto Meter,"Fitting, Metric Adapter, Oil Pressure, 1/8 in. NPT Female to 16mm x 1.5 Male, Each",2268,EA,7,Summit Racing Equipment,"Fitting, Metric Adapter, Oil Pressure, 1/8 in. NPT Female to 16mm x 1.5 Male, Each",2268,,,,,,,,,
"Sending Unit, Oil Temperature, Transmission (comes in 3649 gauge,  Needed to build trans up at Zero gravity)",2258,A,1.00,EA,,,Electronics,,,,,,,Auto Meter,"Sending Unit, Oil Temperature, Transmission",2258,EA,1,Summit Racing Equipment,"Sending Unit, Oil Temperature, Transmission",2258,,,,,,,,,
Mini Zip Tie,TRS-BLK,,25.00,EA,,Thomas & Betts,Electronics,A,3%,C,"$64,152",100%,,Brown Wholsale,"4"" CABLE TIE  18 LBS 3/4"" DIAMETER BLACK",,EA,,Terminal Supply,"4"" CABLE TIE  18 LBS 3/4"" DIAMETER BLACK",,,,,,,,,,
Standard Zip Tie     FIND THOMAS & Bets Parts,TRM-BLK,A,30.00,EA,,Thomas & Betts,Electronics,A,3%,C,"$64,047",100%,,Brown Wholsale,,,EA,,Terminal Supply,"8"" CABLE TIE  50 LBS 1-3/4"" DIAMETER BLACK",TRM-BLK,,,,,,,,,
Long Standard Zip Tie,TRL-11-BLK,A,15.00,EA,,Thomas & Betts,Electronics,A,3%,C,"$64,086",100%,,Brown Wholsale,,,EA,,Terminal Supply,"11-3/4"" CABLE TIES  50 LBS 3"" DIAMETER BLACK",TRL-11-BLK,,,,,,,,,
Extra Wide Zip Tie,TRL-HD-BLK,A,8.00,EA,,Thomas & Betts,Electronics,A,3%,C,"$64,110",100%,,Brown Wholsale,,,EA,,Terminal Supply,"15-1/4"" HEAVY DUTY CABLE TIES  120 LBS 4"" DIAMETER BLACK",TRL-HD-BLK,,,,,,,,,
Universal Speedometer Signal Interface ,SGI-5,A,1.00,EA,,,Electronics,,,,,,,Dakota Digital .com,Universal Speedometer Signal Interface,SGI-5,EA,10,,,,,,,,,,,,
"RCA Extension Cable 1 RCA Male / 1 RCA Female, 3 ft",10R1-01203,A,1.00,EA,,?,Electronics,A,3%,C,"$64,188",100%,,Dascheap.com,"RCA Extension Cable 1 RCA Male / 1 RCA Female, 3 ft",,,100,,,,,,,,,,,,
SPST On-Off Euro Style Rocker  (Accessory Switches   ),7700300,A,5.00,EA,,,Electronics,,,c,,,,DelCity.net,SPST On-Off Euro Style Rocker    ,7700300   ,EA,1,,,,,,,,,,,,
SPDT On-On Euro Style Rocker (????),7700302,A,1.00,EA,,,Electronics,,,c,,,,DelCity.net,SPDT On-On Euro Style Rocker (1 MIN),7700302,EA,1,,,,,,,,,,,,
DPDT (on)-off(on) Euro Style Rocker (Electric Door Locks),7700325,A,1.00,EA,,,Electronics,,,c,,,,DelCity.net,SPDT (On)-Off-(On) Euro Style Rocker(1 MIN),7700305,EA,1,,,,,,,,,,,,
SPST On-Off Red LED Illuminated Euro Style Rocker ( Defrost),7700400,A,1.00,EA,,,Electronics,,,c,,,,DelCity.net,SPST On-Off Red LED Illuminated Euro Style Rocker (1 MIN),7700400,EA,1,,,,,,,,,,,,
DPDT Window Momentary Switch  (Windows),73553DL,A,2.00,EA,,,Electronics,,,c,,,,DelCity.net,DPDT Window Momentary Switch (1 MIN),73553DL,EA,1,,,,,,,,,,,,
SPST (On)-Off Round Hole Rocker  (Rear Trunk Release),7500075,A,1.00,EA,,,Electronics,,,c,,,,DelCity.net,SPST (On)-Off Round Hole Rocker (1 MIN),7500075,EA,1,,,,,,,,,,,,
ADD ON FLOOR     SPST (on)-Off Iluminated Round HoleRocker (AC On Switch ),7510010,A,1.00,EA,,,Electronics,DelCity.net,,,,,,DelCity.net,,,,,,,,,,,,,,,,
"Headlight Switch  (NON Euro Square, Available)",7700044,A,1.00,EA,,,Electronics,,,,,,,DelCity.net,DPDT On-Off-On Full Size Rocker,7700044,EA,1,,,,,,,,,,,,
(On)-Off Round Hole Rocker  (Overhead Counsel),7500074,A,2.00,EA,,,Electronics,,,,,,,DelCity.net,SPST On-Off Round Hole Rocker,7500074,EA,1,,,,,,,,,,,,
Main Chassis Harness (Separate part list),RF-MainChassisHarn,A,1.00,EA,,,Electronics,,,,,,prep,Finish Line Custom Wiring & Fabrication (Smitty),Main Chassis Harness,RF-MainChassisHarn,EA,12,,,,,,,,,,,,
Nose Harness (Separate part list),RF-NoseHarn,A,1.00,EA,,,Electronics,,,,,,prep,Finish Line Custom Wiring & Fabrication (Smitty),Nose Harness,RF-NoseHarn,EA,,,,,,,,,,,,,
Motor Mini Harness (Separate part list),RF-MotorMiniHarn,A,1.00,EA,,,Electronics,,,,,,prep,Finish Line Custom Wiring & Fabrication (Smitty),Motor Mini Harness,RF-MotorMiniHarn,EA,,,,,,,,,,,,,
LH Door Harness (Separate part list),RF-LH-DoorHarn,A,1.00,EA,,,Electronics,,,,,,prep,Finish Line Custom Wiring & Fabrication (Smitty),LH Door Harness,RF-LH-DoorHarn,EA,,,,,,,,,,,,,
RH Door Harness (Separate part list),RF-RH-DoorHarn,A,1.00,EA,,,Electronics,,,,,,prep,Finish Line Custom Wiring & Fabrication (Smitty),RH Door Harness,RF-RH-DoorHarn,EA,,,,,,,,,,,,,
Cluster Harness (Separate part list),RF-ClusterHarn,A,1.00,EA,,,Electronics,,,,,,,Finish Line Custom Wiring & Fabrication (Smitty),Cluster Harness,RF-ClusterHarn,,,,,,,,,,,,,,
Center Consule Upper Switch Harness (Separate part list),RF-UpperConsoleHarn,A,1.00,EA,,,Electronics,,,,,,,Finish Line Custom Wiring & Fabrication (Smitty),Center Consule Upper Switch Harness,RF-UpperConsoleHarn,,,,,,,,,,,,,,
Center Consule Lower Switch Harness (Separate part list),RF-LowerConsoleHarn,A,1.00,EA,,,Electronics,,,,,,,Finish Line Custom Wiring & Fabrication (Smitty),Center Consule Lower Switch Harness,RF-LowerConsoleHarn,,,,,,,,,,,,,,
Center Consule Shifter Switch Harness (Separate part list),RF-ShifterConsulHarn,A,1.00,EA,,,Electronics,,,,,,,Finish Line Custom Wiring & Fabrication (Smitty),Center Consule Shifter Switch Harness,RF-ShifterConsulHarn,,,,,,,,,,,,,,
Defrost / Antenna Harness (Separate part list),RF-Def/AntHarn,A,1.00,EA,,,Electronics,,,,,,,Finish Line Custom Wiring & Fabrication (Smitty),Defrost / Antenna Harness,RF-Def/AntHarn,,,,,,,,,,,,,,
Dome Light Harness (Separate part list),RF-DomeHarn,A,1.00,EA,,,Electronics,,,,,,,Finish Line Custom Wiring & Fabrication (Smitty),Dome Light Harness,RF-DomeHarn,,,,,,,,,,,,,,
Horn button Harness (Separate part list),RF-HornHarn,A,1.00,EA,,,Electronics,,,,,,,Finish Line Custom Wiring & Fabrication (Smitty),Horn button Harness,RF-HornHarn,,,,,,,,,,,,,,
Main Power Cables  (Separate part list),RF-MainPowerHarn,A,1.00,EA,,,Electronics,,,,,,,Finish Line Custom Wiring & Fabrication (Smitty),Main Power Cables,RF-MainPowerHarn,,,,,,,,,,,,,,
Horns,4L3Z-13832-BA,A,1.00,EA,5.6,Ford,Electronics,A,3%,B,"$59,067",92%,,Ford Component Sales,Horn Asy,4L3Z-13832-BA,EA,20,Pan Taiwan,,,,,Chapman Ford,,,,,1.18,
"Ignition Switch Cylinder w/key blank, (mounts directly into column)",AU5Z11582A,A,1.00,EA,5.5,Ford,Electronics,A,3%,B,"$56,799",88%,Prep,Ford Component Sales,Igninition Switch,AU5Z11582A,EA,1,,,,,,,,,,,,
Backup Camera,GT-0563S,A,1.00,EA,,,Electronics,,,B,,,,Grace Tech Limited ,"Special for NISSAN QASHQAI, X-TRAIL IP Rating: IP 68 Image Sensor: SONY COLOR CCD Effective pixels: 728*582/728*512",GT-0563S,,50,,,,,,,,,,,,
"SS Button Bolt, 10-32x1/2"", (Fuse Panel mounting)",98164A178,A,8.00,EA,,,Fastener,A,3%,C,"$64,077",100%,,McMaster-Carr,"Type 316 SS Button Head Socket Cap Screw 10-32 Thread, 1/2"" Length, packs of 50",98164A178,EA,,,,,,,,,,,,,
"Heat Shrink Tubing(Heavy Duty) pkg 3-9.5"" lengths",NW-727613,A,0.50,FT,,Napa,Electronics,A,3%,C,"$63,812",99%,,"Napa, Mel's Auto","Heat Shrink Tubing(Heavy Duty) pkg 3-9.5"" lengths",NW-727613,EA,,,,,,,,,,,,,
75/75 Battery,7575,A,1.00,EA,,Napa,Electronics,,,B,,,,"Napa, Mel's Auto",75/75 Battery,7575,,1,,,,,,,,,,,,
