LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
Body Insert behind Passenger  Door window,RF-RH-RearofWindow-Insert,A,1.00,EA,4.0,Don Horn,Body,,,,,,,Don Horn ,Body Insert behind Passenger  Door window,RF-RH-RearofWindow-Insert,,7,,,,,,,,,,,,
"Laser Cut Steel 3/8"" RF KIT NC",RFN0A36-375-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,"1/2"" Steel A36 HR Sheet(20.42lb/sqft), Gloss Black Powder Coat",N/A,
"Laser Cut Steel  1/4"" RF KIT NC",RFNA036-250-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Steel 1/8"" RF KIT NC",RFN0A36-125-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Steel 1/16"" RF KIT NC",RFN0A36-063-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Alum 3/16"" RF KIT NC",RFN6061-375-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Alum 1/8"" RF KIT NC",RFN5052-125-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Alum 1/16"" RF KIT NC",RFN5052-063-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Alum .040"" RF KIT NC",RFN5052-040-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Stainless Steel  .063"" RF KIT NC",RFNS304-063-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Steel  1/4"" RF KIT Chassis",RFC0A36-250-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Steel  3/16"" RF KIT Chassis",RFC0A36-188-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Steel  1/8"" RF KIT Chassis",RFC0A36-125-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
"Laser Cut Steel  1/16"" RF KIT Chassis",RFC0A36-063-KIT,A,1.00,EA,,,Chassis,A,20%,,"$64,202",100%,,DT Products ,,,,,,,,,,,,,,,,
Front Skid Plate (Forming in price only),RFN6061-037,A,1.00,Ea,,,Body,,,,,,,Finish Line Fabricating,Front Skid Plate,,EA,20,,,,,,,,,,,,
"Supremaseal Aquabloc 1/4"" x 1 1/4"" x 22' Black (C1S) ",BFE1E22FCS,A,10.00,FT,2.0,,Body,,,,,,,Kelcom-Tape,"1/4"" x 1 1/4"" x 22' Black (C1S) ",BFE1E22FCS,FT,7 rolls,,,,,,,,,,,,
Mirror Stud removed from Mirror,RFN-MirroStud,A,6.00,EA,,,Body,,,,,,,Local Motors,Mirror Stud removed from Mirror,RFN-MirroStud,EA,,,,,,,,,,,,,
